trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-118.09055636570768,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-203.34041212058332,"{0: 20, 1: 5, 2: 4, 3: 4, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-120.56847296946621,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,6,-173.23369038656756,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-105.11993627043874,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-78.22176112407543,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-133.42198059650033,"{0: 23, 1: 5, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-134.19283111489233,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-97.01525408008894,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,7,-30.07757203418334,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-113.37766165694336,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,18,0.36969689940309136,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-13.475829563517859,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-15.9441285894355,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-33.54305607431991,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,4,-58.5679207584312,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,0,-52.027399309885034,"{0: 29, 1: 0, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,18,-0.13774822306251444,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-6.568337348450436,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-113.59607548423544,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",35,0,39.79919589314514,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,14,8.655519854778397,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,10,15.897142510106772,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,0,-30.725557529577326,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,13,-20.78565108641285,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,10,-27.303999638084385,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",25,11,-18.591280109467032,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,13,4.659344159280909,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,3,-23.26035360113275,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,0,-107.77899355264796,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
