trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9048374180359595}",30,16,-65.90981579075073,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 1}",1
2,False,"{'a': 0.7, 'e': 0.8187307530779818}",20,0,-82.90388619350978,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.7408182206817179}",25,0,-130.25538137188514,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",1
4,False,"{'a': 0.7, 'e': 0.6703200460356393}",20,0,-69.83856730052773,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.7, 'e': 0.6065306597126334}",25,0,-107.05588018713948,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.5488116360940264}",20,0,-74.33545859826793,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
7,False,"{'a': 0.7, 'e': 0.49658530379140947}",20,0,-33.95882695860669,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.44932896411722156}",25,0,-75.72914529707323,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.7, 'e': 0.4065696597405991}",30,0,-113.71553590171949,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.7, 'e': 0.36787944117144233}",20,1,-104.57623740422072,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 2}",1
11,False,"{'a': 0.7, 'e': 0.33287108369807955}",20,6,-28.426028686442155,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
12,False,"{'a': 0.7, 'e': 0.301194211912202}",20,3,-61.71844791103996,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
13,False,"{'a': 0.7, 'e': 0.2725317930340126}",20,2,-15.669713966630463,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 0}",1
14,False,"{'a': 0.7, 'e': 0.24659696394160643}",20,15,-11.467197202059742,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.7, 'e': 0.22313016014842982}",25,0,-127.76820883041687,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
16,False,"{'a': 0.7, 'e': 0.20189651799465538}",25,11,7.416739484236185,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.7, 'e': 0.1826835240527346}",30,24,11.816338748115676,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.7, 'e': 0.16529888822158653}",30,0,-83.65669170834249,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.7, 'e': 0.14956861922263504}",25,15,-66.12193667333248,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 1}",1
20,False,"{'a': 0.7, 'e': 0.1353352832366127}",20,1,4.778230191128005,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.1224564282529819}",20,0,-55.87554150336622,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.7, 'e': 0.11080315836233387}",20,0,10.856499324803337,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
23,False,"{'a': 0.7, 'e': 0.1002588437228037}",25,20,8.592782516084826,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.7, 'e': 0.09071795328941247}",20,14,14.129672889032838,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,9,-45.475936384440914,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,14,-29.350244103158243,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,15,-25.599741602553255,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,1,-8.076848412724807,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,15,10.268779840355666,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,6,0.6563403692798957,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,16,12.786397973754667,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,10,-73.26242291278258,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-125.92810477800748,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,18.22050341723829,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,True,"{'a': 0.0, 'e': 0.0}",20,6,-68.04190637622965,"{0: 10, 1: 1, 2: 0, 3: 2, 4: 1}",1
12,True,"{'a': 0.0, 'e': 0.0}",25,13,-22.427542224126604,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 0}",1
